Test Id,Cleaned Title,Cleaned Description,Combined Input,Custom Summary,Custom ROUGE-1,T5 Summary,T5 ROUGE-1,Flan-T5 Summary,Flan-T5 ROUGE-1,BART Summary,BART ROUGE-1
56,proper validation messages should be displayed for all invalid values for filter criteria.,proper validation messages should be displayed for all invalid values for filter criteria.,Title: proper validation messages should be displayed for all invalid values for filter criteria.. Description: proper validation messages should be displayed for all invalid values for filter criteria.,Title: proper validation messages should be displayed for all invalid values for filter criteria. Description:,0.962962962962963,proper validation messages should be displayed for all invalid values for filter criteria.,1.0,proper validation messages should be displayed for all invalid values for filter criteria.,1.0, proper validation messages should be displayed for all invalid values for filter criteria.,1.0
57,page loading symbol should be displayed when its taking more than default time to load the result page.,page loading symbol should be displayed when its taking more than default time to load the result page.,Title: page loading symbol should be displayed when its taking more than default time to load the result page.. Description: page loading symbol should be displayed when its taking more than default time to load the result page.,Title: page loading symbol should be displayed when its taking more than default time to load the result page.,1.0,page loading symbol should be displayed when its taking more than default time to load the result page .,1.0,Page loading symbol should be displayed when its taking more than default time to load the result page.,1.0, page loading symbol should be displayed when its taking more than default time to load the result page.,1.0
58,check if all the search parameters are used to fetch data shown on the result grid.,check if all the search parameters are used to fetch data shown on the result grid.,Title: check if all the search parameters are used to fetch data shown on the result grid.. Description: check if all the search parameters are used to fetch data shown on the result grid.,Title: check if all the search parameters are used to fetch data shown on the result grid.,1.0,check if all the search parameters are used to fetch data shown on the result grid.,1.0,Check if all the search parameters are used to fetch data shown on the result grid.,1.0,Check if all the search parameters are used to fetch data shown on the result grid.,1.0
59,the total number of results should be displayed in the result grid.,the total number of results should be displayed in the result grid.,Title: the total number of results should be displayed in the result grid.. Description: the total number of results should be displayed in the result grid.,The total number of results should be displayed in the result grid.,1.0,total number of results should be displayed in the result grid.,0.9565217391304348,The total number of results should be displayed in the result grid.,1.0,The total number of results should be displayed in the result grid.,1.0
60,search criteria used for searching should be displayed in the result grid.,search criteria used for searching should be displayed in the result grid.,Title: search criteria used for searching should be displayed in the result grid.. Description: search criteria used for searching should be displayed in the result grid.,Title: search criteria used for searching should be displayed in the result grid.,1.0,search criteria used for searching should be displayed in the result grid .,1.0,Search criteria used for searching should be displayed in the result grid.,1.0,Search criteria used for searching should be displayed in the result grid.,1.0
61,result grid values should be sorted by default column.,result grid values should be sorted by default column.,Title: result grid values should be sorted by default column.. Description: result grid values should be sorted by default column.,Title: result grid values should be sorted by default column. Description:,0.9473684210526316,title: result grid values should be sorted by default column .,1.0,Title: Result grid values should be sorted by default column.,1.0, result grid values should be sorted by default column.,1.0
62,sorted columns should be displayed with a sort icon.,sorted columns should be displayed with a sort icon.,Title: sorted columns should be displayed with a sort icon.. Description: sorted columns should be displayed with a sort icon.,Title: sorted columns should be displayed with a sort icon.,1.0,sorted columns should be displayed with a sort icon.,1.0,Sorted columns should be displayed with a sort icon.,1.0,Sorted columns should be displayed with a sort icon.,1.0
63,result grids should include all the specified columns with correct values.,result grids should include all the specified columns with correct values.,Title: result grids should include all the specified columns with correct values.. Description: result grids should include all the specified columns with correct values.,Title: result grids should include all the specified columns with correct values.,1.0,result grids should include all the specified columns with correct values .,1.0,Title: Result grids should include all the specified columns with correct values.,1.0, result grids should include all the specified columns with correct values.,1.0
64,ascending and descending sorting functionality should work for columns supported by data sorting.,ascending and descending sorting functionality should work for columns supported by data sorting.,Title: ascending and descending sorting functionality should work for columns supported by data sorting.. Description: ascending and descending sorting functionality should work for columns supported by data sorting.,Title: ascending and descending sorting functionality should work for columns supported by data sorting.,1.0,ascending and descending sorting functionality should work for columns supported by data sorting .,1.0,A. Sorting functionality should work for columns supported by data sorting.,0.8333333333333333,Ascending and descending sorting functionality should work for columns supported by data sorting.,1.0
65,result grids should be displayed with proper column and row spacing.,result grids should be displayed with proper column and row spacing.,Title: result grids should be displayed with proper column and row spacing.. Description: result grids should be displayed with proper column and row spacing.,Title: result grids should be displayed with proper column and row spacing.,1.0,result grids should be displayed with proper column and row spacing .,1.0,Title: Result grids should be displayed with proper column and row spacing.,1.0, result grids should be displayed with proper column and row spacing.,1.0
66,pagination should be enabled when there are more results than the default result count per page.,pagination should be enabled when there are more results than the default result count per page.,Title: pagination should be enabled when there are more results than the default result count per page.. Description: pagination should be enabled when there are more results than the default result count per page.,Title: pagination should be enabled when there are more results than the default result count per page.,1.0,title: pagination should be enabled when there are more results than the default result count per page .,1.0,Pagination should be enabled when there are more results than the default result count per page,1.0,Pagination should be enabled when there are more results than the default result count per page.,1.0
67,"check for next, previous, first and last page pagination functionality.","check for next, previous, first and last page pagination functionality.","Title: check for next, previous, first and last page pagination functionality.. Description: check for next, previous, first and last page pagination functionality.","Title: check for next, previous, first and last page pagination functionality. Description:",0.9523809523809523,"title: check for next, previous, first and last page pagination functionality.",1.0,"Check for next, previous, first and last page pagination functionality.",1.0,"Check for next, previous, first and last page pagination functionality.",1.0
68,duplicate records should not be displayed in the result grid.,duplicate records should not be displayed in the result grid.,Title: duplicate records should not be displayed in the result grid.. Description: duplicate records should not be displayed in the result grid.,Title: duplicate records should not be displayed in the result grid.,1.0,duplicate records should not be displayed in the result grid.,1.0,Duplicate records should not be displayed in the result grid.,1.0, duplicate records should not be displayed in the result grid.,1.0
69,check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,Title: check if all the columns are visible and a horizontal scrollbar is enabled if necessary.. Description: check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,Title: check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,1.0,check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,1.0,Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,1.0,Check if all the columns are visible and a horizontal scrollbar is enabled if necessary.,1.0
70,check the data for dynamic columns columns whose values are calculated dynamically based on the other column values.,check the data for dynamic columns columns whose values are calculated dynamically based on the other column values.,Title: check the data for dynamic columns columns whose values are calculated dynamically based on the other column values.. Description: check the data for dynamic columns columns whose values are calculated dynamically based on the other column values.,Description: Check the data for dynamic columns columns whose values are calculated dynamically based on the other column values.,1.0,check the data for dynamic columns columns whose values are calculated dynamically based on the other column values .,1.0,check the data for dynamic columns columns whose values are calculated dynamically based on the other column values,1.0,Check the data for dynamic columns columns whose values are calculated dynamically based on the other column values.,1.0
71,for result grids showing reports check totals row and verify the total for every column.,for result grids showing reports check totals row and verify the total for every column.,Title: for result grids showing reports check totals row and verify the total for every column.. Description: for result grids showing reports check totals row and verify the total for every column.,Description: For result grids showing reports check totals row and verify the total for every column.,1.0,result grids showing reports check totals row and verify the total for every column .,0.9655172413793104,For result grids showing reports check totals row and verify the total for every column.,1.0,For result grids showing reports check totals row and verify the total for every column.,1.0
72,for result grids showing reports check totals row data when pagination is enabled and the user gets navigated to the next page.,for result grids showing reports check totals row data when pagination is enabled and the user gets navigated to the next page.,Title: for result grids showing reports check totals row data when pagination is enabled and the user gets navigated to the next page.. Description: for result grids showing reports check totals row data when pagination is enabled and the user gets navigated to the next page.,Description: For result grids showing reports check totals row data when pagination is enabled.,0.7428571428571429,result grids showing reports check totals row data when pagination is enabled and the user gets navigated to the next page .,0.9767441860465117,Check totals row data when pagination is enabled and the user gets navigated to the next page.,0.8717948717948718,For result grids showing reports check totals row data when pagination is enabled and the user gets navigated to the next page.,1.0
73,check if proper symbols are used for displaying column values e.g. symbol should be displayed for percentage calculation.,check if proper symbols are used for displaying column values e.g. symbol should be displayed for percentage calculation.,Title: check if proper symbols are used for displaying column values e.g. symbol should be displayed for percentage calculation.. Description: check if proper symbols are used for displaying column values e.g. symbol should be displayed for percentage calculation.,Title: check if proper symbols are used for displaying column values.,0.6896551724137931,check if proper symbols are used for displaying column values . symbol should be displayed for percentage calculation .,0.9444444444444444,Check if proper symbols are used for displaying column values e.g. symbol should be displayed for percentage calculation.,1.0, check if proper symbols are used for displaying column values e.g. symbol should be displayed for percentage calculation.,1.0
74,check result grid data to know if the date range is enabled.,check result grid data to know if the date range is enabled.,Title: check result grid data to know if the date range is enabled.. Description: check result grid data to know if the date range is enabled.,Title: check result grid data to know if the date range is enabled. Description:,0.9600000000000001,check result grid data to know if the date range is enabled.,1.0,Check if the date range is enabled.,0.7368421052631579, check result grid data to know if the date range is enabled.,1.0
75,check if the default window size is correct.,the default window size should be as expected.,Title: check if the default window size is correct.. Description: the default window size should be as expected.,Title: check if the default window size is correct. Description: default window should be as expected.,0.6956521739130436,default window size should be as expected .,0.39999999999999997,Check if the default window size is correct.,1.0,Check if the default window size is correct.,1.0
76,check if the child window size is correct.,the child window size should be as expected.,Title: check if the child window size is correct.. Description: the child window size should be as expected.,Title: check if the child window size is correct. Description: The child window should be as expected.,0.6666666666666666,title: check if the child window size is correct.,1.0,Check if the child window size is correct.,1.0,Check if the child window size is correct.,1.0
77,"check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.","check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.","Title: check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.. Description: check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.","Title: check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.",1.0,"if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen .",0.9811320754716981,"Check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.",1.0," check if there is any field on the page with default focus in general, the focus should be set on the first input field of the screen.",1.0
78,check if child windows are getting closed on closing parentopener window.,child windows should always close on closing parent window. the child windows should not remain open when parent window is closed.,Title: check if child windows are getting closed on closing parentopener window.. Description: child windows should always close on closing parent window. the child windows should not remain open when parent window is closed.,Child windows should always close on closing parentopener window.,0.6,child windows should always close on closing parent window.,0.5,Check if child windows are getting closed on closing parent window.,0.9090909090909091,Check if child windows are getting closed on closing parentopener window.,1.0
79,"if the child window is opened, the user should not be able to use or update any field in the background or parent window","if the child window is opened, the user should not be able to use or update any field in the background or parent window","Title: if the child window is opened, the user should not be able to use or update any field in the background or parent window. Description: if the child window is opened, the user should not be able to use or update any field in the background or parent window","if the child window is opened, the user should not be able to use or update any field in the background or parent window.",1.0,"if the child window is opened, the user should not be able to use or update any field in the background or parent window .",1.0,"If the child window is opened, the user should not be able to use or update any field in the background or parent window",1.0,"If the child window is opened, the user should not be able to use or update any field in the background or parent window.",1.0
80,"check window minimize, maximize, and close functionality.","check window minimize, maximize, and close functionality.","Title: check window minimize, maximize, and close functionality.. Description: check window minimize, maximize, and close functionality.","Description: Check window minimize, maximize, and close functionality.",1.0,"check window minimize, maximize, and close functionality.",1.0,"Check window minimize, maximize, and close functionality.",1.0,"Check window minimize, maximize, and close functionality.",1.0
81,check if the window is resizable.,check if the window is resizable.,Title: check if the window is resizable.. Description: check if the window is resizable.,Description: Check if the window is resizable.,1.0,check if the window is resizable..,1.0,Check if the window is resizable.,1.0,Check if the window is resizable.,1.0
82,check scroll bar functionality for parent and child windows.,check scroll bar functionality for parent and child windows.,Title: check scroll bar functionality for parent and child windows.. Description: check scroll bar functionality for parent and child windows.,Description: Check scroll bar functionality for parent and child windows.,1.0,check scroll bar functionality for parent and child windows.,1.0,Check scroll bar functionality for parent and child windows.,1.0,Check scroll bar functionality for parent and child windows.,1.0
83,check cancel button functionality for the child window.,check cancel button functionality for the child window.,Title: check cancel button functionality for the child window.. Description: check cancel button functionality for the child window.,Description: Check cancel button functionality for the child window.,1.0,title: check cancel button functionality for the child window.,1.0,Check the cancel button functionality for the child window.,0.9411764705882353,Check cancel button functionality for the child window.,1.0
84,check if correct data is getting saved in the database upon a successful page submit.,correct data should be saved from web page to database.,Title: check if correct data is getting saved in the database upon a successful page submit.. Description: correct data should be saved from web page to database.,Title: check if correct data is getting saved in database.,0.7499999999999999,correct data should be saved from web page to database upon a successful page submit.,0.6,Check if correct data is getting saved in the database upon a successful page submit.,1.0,Check if correct data is getting saved in the database upon a successful page submit.,1.0
85,check values for columns that are not accepting null values.,the columns which dont accept nullvalues should not accept null values even if itsforceibly inserted.,Title: check values for columns that are not accepting null values.. Description: the columns which dont accept nullvalues should not accept null values even if itsforceibly inserted.,Nullvalues should not accept null values even if itsforceibly inserted.,0.3,columns which are not accepting null values should not accept null value even if itsforceibly inserted .,0.4615384615384615,check values for columns that are not accepting null values.,1.0, check values for columns that are not accepting null values. Columns should not accept null values even if itsforceibly inserted.,0.6666666666666666
86,check for data integrity. data should be stored in single or multiple tables based on the design.,check for data integrity. data should be stored in single or multiple tables based on the design. these tables should be as per what is mentioned in the base document.,Title: check for data integrity. data should be stored in single or multiple tables based on the design.. Description: check for data integrity. data should be stored in single or multiple tables based on the design. these tables should be as per what is mentioned in the base document.,Title: check for data integrity. data should be stored in single or multiple tables based on the design.,1.0,data should be stored in single or multiple tables based on the design . tables should be as per what is mentioned in the base document .,0.6190476190476191,Check for data integrity. Data should be stored in single or multiple tables based on the design. These tables should be as per what is mentioned in the base document.,0.7234042553191489,Data should be stored in single or multiple tables based on the design. these tables should be as per what is mentioned in the base document.,0.6046511627906976
87,index names should be given as per the standards e.g. ind_tablename_columnname,index names should be given as per the standards e.g. ind_tablename_columnname. these names should be as per the base document.,Title: index names should be given as per the standards e.g. ind_tablename_columnname. Description: index names should be given as per the standards e.g. ind_tablename_columnname. these names should be as per the base document.,index names should be given as per the standards e.g. ind_tablename_columnname.,1.0,index names should be given as per the standards e.g. ind_tablename_columnname .,1.0,Index names should be given as per the standards e.g. ind_tablename_columnname.,1.0,Index names should be given as per the standards e.g. ind_tablename_columnname.,1.0
88,tables should have a primary key column.,tables should have a primary key column.,Title: tables should have a primary key column.. Description: tables should have a primary key column.,Title: tables should have a primary key column.,1.0,tables should have a primary key column.,1.0,Tables should have a primary key column.,1.0,Tables should have a primary key column.,1.0
89,"table columns should have description information available except for audit columns like created date, created by, etc.","table columns should have description information available except for audit columns like created date, created by, etc.","Title: table columns should have description information available except for audit columns like created date, created by, etc.. Description: table columns should have description information available except for audit columns like created date, created by, etc.","Title: table columns should have description information available except for audit columns like created date, created by, etc. Description: Table columns should contain description information.",0.8292682926829268,"table columns should have description information available except for audit columns like created date, created by, etc.",1.0,"Table columns should have description information available except for audit columns like created date, created by, etc..",1.0,"Table columns should have description information available except for audit columns like created date, created by, etc.",1.0
90,for every database addupdate operation log should be added.,for every database addupdate operation log should be added. the log path should be standard.,Title: for every database addupdate operation log should be added.. Description: for every database addupdate operation log should be added. the log path should be standard.,Description: for every database addupdate operation log should be added. the log path should be standard.,0.7499999999999999,for every database addupdate operation log should be added . the log path should be standard .,0.7499999999999999,For every database addupdate operation log should be added.,1.0,For every database addupdate operation log should be added. the log path should be standard.,0.7499999999999999
91,required table indexes should be created.,required table indexes should be created.,Title: required table indexes should be created.. Description: required table indexes should be created.,Title: required table indexes should be created.,1.0,required table indexes should be created..,1.0,The required table indexes should be created.,0.923076923076923, required table indexes should be created.,1.0
92,check if data is committed to the database only when the operation is successfully completed.,"check if data is committed to the database only when the operation is successfully completed. forany incomplete operation, the database should not get updated.","Title: check if data is committed to the database only when the operation is successfully completed.. Description: check if data is committed to the database only when the operation is successfully completed. forany incomplete operation, the database should not get updated.","Check if data is committed to the database only when the operation is successfully completed. Forany incomplete operation, the database should not get updated.",0.7692307692307693,"for incomplete operation, the database should not get updated . check if data is committed to the database only when the operation is successfully completed .",0.7692307692307693,"For any incomplete operation, the database should not get updated.",0.24," check if data is committed to the database only when the operation is successfully completed. forany incomplete operation, the database should not get updated.",0.7692307692307693
93,data should be rolled back in case of failed transactions.,data should be rolled back in case of failed transactions.,Title: data should be rolled back in case of failed transactions.. Description: data should be rolled back in case of failed transactions.,Description: Data should be rolled back in case of failed transactions.,1.0,data should be rolled back in case of failed transactions.,1.0,Data should be rolled back in case of failed transactions.,1.0,Data should be rolled back in case of failed transactions.,1.0
94,"database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance","database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance","Title: database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance. Description: database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance","database name should be given as per application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance.",0.9818181818181818,"database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance .",1.0,"Database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance.",1.0,"Database name should be given as per the application type i.e. test, uat, sandbox, live though this is not a standard it is helpful for database maintenance.",1.0
95,database logical names should be given according to the database name again this is not standard but helpful for db maintenance.,database logical names should be given according to the database name again this is not standard but helpful for db maintenance.,Title: database logical names should be given according to the database name again this is not standard but helpful for db maintenance.. Description: database logical names should be given according to the database name again this is not standard but helpful for db maintenance.,Database logical names should be given according to the database name again this is not standard but helpful for db maintenance.,1.0,database logical names should be given according to the database name again this is not standard but helpful for db maintenance .,1.0,Database logical names should be given according to the database name again this is not standard but helpful for db maintenance.,1.0, database logical names should be given according to the database name again this is not standard but helpful for db maintenance.,1.0
96,stored procedures should not be named with a prefix sp_,stored procedures should not be named with a prefix sp_,Title: stored procedures should not be named with a prefix sp_. Description: stored procedures should not be named with a prefix sp_,Description: stored procedures should not be named with a prefix sp_.,1.0,stored procedures should not be named with a prefix sp_.,1.0,Stored procedures should not be named with a prefix sp_.,1.0, stored procedures should not be named with a prefix sp_.,1.0
97,"check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.","check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.","Title: check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.. Description: check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.","Check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc.",0.9361702127659575,"check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.",1.0,"Check if table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.",0.9583333333333334,"Check if values for table audit columns like created date, created by, updated, updated by, is deleted, deleted data, deleted by, etc. are populated properly.",1.0
98,check if input data is not truncated while saving. field length shown to the user on the page and in database schema should be the same.,check if input data is not truncated while saving. field length shown to the user on the page and in database schema should be the same.,Title: check if input data is not truncated while saving. field length shown to the user on the page and in database schema should be the same.. Description: check if input data is not truncated while saving. field length shown to the user on the page and in database schema should be the same.,Field length shown to the user on the page and in database schema should be the same. Description: Check if input data is not truncated while saving.,0.5142857142857142,check if input data is not truncated while saving . field length shown to user on page and in database schema should be same .,0.9387755102040816,Title: Check if input data is not truncated while saving. Field length shown to the user on the page and in database schema should be the same..,1.0, check if input data is not truncated while saving. field length shown to the user on the page and in database schema should be the same.,1.0
99,"check numeric fields with minimum, maximum, and float values.","check numeric fields with minimum, maximum, and float values. the max acceptable values, min acceptable values etc. should be as expected.","Title: check numeric fields with minimum, maximum, and float values.. Description: check numeric fields with minimum, maximum, and float values. the max acceptable values, min acceptable values etc. should be as expected.","Title: check numeric fields with minimum, maximum, and float values. max acceptable values, min acceptable values etc. should be as expected.",0.6206896551724138,"check numeric fields with minimum, maximum, and float values . max acceptable values, min acceptable values etc. should be as expected.",0.6206896551724138,"Check numeric fields with minimum, maximum, and float values.",1.0," check numeric fields with minimum, maximum, and float values. the max acceptable values, min acceptable values etc. should be as expected.",0.6
100,check numeric fields with negative values for both acceptance and nonacceptance.,check numeric fields with negative values for both acceptance and nonacceptance. if negative values are accepted then it should be accepted but if negative values are not acceptable then user should be able to enter negative values.,Title: check numeric fields with negative values for both acceptance and nonacceptance.. Description: check numeric fields with negative values for both acceptance and nonacceptance. if negative values are accepted then it should be accepted but if negative values are not acceptable then user should be able to enter negative values.,Check numeric fields with negative values for both acceptance and nonacceptance. if negative values are accepted then it should be accepted.,0.6875000000000001,check numeric fields with negative values for both acceptance and nonacceptance . if negative values are accepted then it should be accepted .,0.6875000000000001,Check numeric fields with negative values for both acceptance and nonacceptance.,1.0, check numeric fields with negative values for both acceptance and nonacceptance. if negative values are accepted then it should be accepted but ifnegative values are not acceptable then user should be able to enter negative values.,0.46808510638297873
101,check if the radio button and dropdown list options are saved correctly in the database.,check if the radio button and dropdown list options are saved correctly in the database.,Title: check if the radio button and dropdown list options are saved correctly in the database.. Description: check if the radio button and dropdown list options are saved correctly in the database.,Description: Check if the radio button and dropdown list options are saved correctly in the database.,1.0,check if the radio button and dropdown list options are saved correctly in the database.,1.0,Check if the radio button and dropdown list options are saved correctly in the database.,1.0,Check if the radio button and dropdown list options are saved correctly in the database.,1.0
102,check if the database fields are designed with the correct data type and data length.,check if the database fields are designed with the correct data type and data length.,Title: check if the database fields are designed with the correct data type and data length.. Description: check if the database fields are designed with the correct data type and data length.,Description: Check if the database fields are designed with the correct data type and data length.,1.0,check if the database fields are designed with the correct data type and data length .,1.0,Check if the database fields are designed with the correct data type and data length.,1.0,Check if the database fields are designed with the correct data type and data length.,1.0
103,"check if all the table constraints like a primary key, foreign key, etc. are implemented correctly.","check if all the table constraints like a primary key, foreign key, etc. are implemented correctly.should be as per the base document.","Title: check if all the table constraints like a primary key, foreign key, etc. are implemented correctly.. Description: check if all the table constraints like a primary key, foreign key, etc. are implemented correctly.should be as per the base document.","Title: check if all the table constraints like a primary key, foreign key, etc. are implemented correctly.should be as per the base document.",0.8205128205128205,"check if all the table constraints like a primary key, foreign key, etc. are implemented correctly. should be as per the base document.",0.8205128205128205,"Title: Check if all the table constraints like a primary key, foreign key, etc. are implemented correctly..",1.0,"Check if all the table constraints like a primary key, foreign key, etc. are implemented correctly.",1.0
104,test stored procedures and triggers with sample input data.,test stored procedures and triggers with sample input data.,Title: test stored procedures and triggers with sample input data.. Description: test stored procedures and triggers with sample input data.,Description: Test stored procedures and triggers with sample input data.,1.0,test stored procedures and triggers with sample input data.,1.0,Test stored procedures and triggers with sample input data.,1.0,Test stored procedures and triggers with sample input data.,1.0
105,input field leading and trailing spaces should be truncated before committing data to the database.,input field leading and trailing spaces should be truncated before committing data to the database.,Title: input field leading and trailing spaces should be truncated before committing data to the database.. Description: input field leading and trailing spaces should be truncated before committing data to the database.,input field leading and trailing spaces should be truncated before committing data to the database.,1.0,field leading and trailing spaces should be truncated before committing data to the database .,0.9655172413793104,Title: input field leading and trailing spaces should be truncated before committing data to the database..,1.0, input field leading and trailing spaces should be truncated before committing data to the database.,1.0
106,null values should not be allowed for the primary key column.,null values should not be allowed for the primary key column.,Title: null values should not be allowed for the primary key column.. Description: null values should not be allowed for the primary key column.,Null values should not be allowed for the primary key column.,1.0,null values should not be allowed for the primary key column .,1.0,Null values should not be allowed for the primary key column.,1.0, null values should not be allowed for the primary key column.,1.0
107,check for uploaded image path.,check for uploaded image path. the path should be as mentione din base document.,Title: check for uploaded image path.. Description: check for uploaded image path. the path should be as mentione din base document.,The path should be as mentione din base document.,0.14285714285714285,the path should be as mentione din base document.,0.14285714285714285,Check for uploaded image path. The path should be as mentione din base document.,0.5263157894736842, check for uploaded image path. the path should be as mentione din base document.,0.5263157894736842
108,check image upload and change functionality.,check image upload and change functionality. the upload path should be correct. the uploaded images should be correct after upload is done.,Title: check image upload and change functionality.. Description: check image upload and change functionality. the upload path should be correct. the uploaded images should be correct after upload is done.,Title: check image upload and change functionality. The upload path should be correct.,0.6666666666666666,check image upload and change functionality . uploaded images should be correct after upload is done .,0.5714285714285715,Check image upload and change functionality. The upload path should be correct.,0.6666666666666666, check image upload and change functionality. the uploaded images should be correct after upload is done.,0.5454545454545454
109,"check image upload functionality with image files of different extensions for example, jpeg, png, bmp, etc.","check image upload functionality with image files of different extensions for example, jpeg, png, bmp, etc..the uploaded images should be correct after upload is done.","Title: check image upload functionality with image files of different extensions for example, jpeg, png, bmp, etc.. Description: check image upload functionality with image files of different extensions for example, jpeg, png, bmp, etc..the uploaded images should be correct after upload is done.",Title: check image upload functionality with image files of different extensions. The uploaded images should be correct after upload is done.,0.5555555555555556,title: check image upload functionality with image files of different extensions . uploaded images should be correct after upload is done .,0.5714285714285714,"Check image upload functionality with image files of different extensions for example, jpeg, png, bmp, etc..",1.0,"Check image upload functionality with image files of different extensions for example, jpeg, png, bmp, etc. The uploaded images should be correct after upload is done.",0.761904761904762
110,check image upload functionality with images having space or any other allowed special character in the file name.,check image upload functionality with images having space or any other allowed special character in the file name. the images with invalid names hsould not be accepted.,Title: check image upload functionality with images having space or any other allowed special character in the file name.. Description: check image upload functionality with images having space or any other allowed special character in the file name. the images with invalid names hsould not be accepted.,The images with invalid names hsould not be accepted.,0.2222222222222222,images with invalid names hsould not be accepted .,0.15384615384615383,Check image upload functionality with images having space or any other allowed special character in the file name.,1.0, check image upload functionality with images having space or any other allowed special character in the file name. the images with invalid names hsould not be accepted.,0.8
111,check duplicate name image upload.,check duplicate name image upload.,Title: check duplicate name image upload.. Description: check duplicate name image upload.,Title: check duplicate name image upload. Description:,0.9090909090909091,title: check duplicate name image upload.. Description: Check duplicate name picture upload.,0.625,Title: check duplicate name image upload..,1.0,Title: check duplicate name image upload. Description: Check duplicate name photo upload.,0.625
112,check image upload with image size greater than the max allowed size. the proper error message should be displayed.,check image upload with image size greater than the max allowed size. the proper error message should be displayed.,Title: check image upload with image size greater than the max allowed size. the proper error message should be displayed.. Description: check image upload with image size greater than the max allowed size. the proper error message should be displayed.,Title: check image upload with image size greater than the max allowed size.,0.7741935483870968,title: check image upload with image size greater than the max allowed size. the proper error message should be displayed.,1.0,Check image upload with image size greater than the max allowed size.,0.7741935483870968, check image upload with image size greater than the max allowed size. the proper error message should be displayed.,1.0
113,"check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc.. a proper error message should be displayed.","check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc.. a proper error message should be displayed.","Title: check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc.. a proper error message should be displayed.. Description: check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc.. a proper error message should be displayed.","Title: check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc. a proper error message should be displayed.",1.0,a proper error message should be displayed . check image upload functionality with file types other than images .,0.8292682926829268,"Check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc.. A proper error message should be displayed.",1.0,"Check image upload functionality with file types other than images for example, txt, doc, pdf, exe, etc.. a proper error message should be displayed.",1.0
114,check if images of specified height and width if defined are accepted otherwise rejected.,check if images of specified height and width if defined are accepted otherwise rejected.,Title: check if images of specified height and width if defined are accepted otherwise rejected.. Description: check if images of specified height and width if defined are accepted otherwise rejected.,Title: check if images of specified height and width are accepted otherwise rejected. Description:,0.888888888888889,title: check if images of specified height and width if defined are accepted otherwise rejected.,1.0,Check if images of specified height and width if defined are accepted otherwise rejected.,1.0,Check if images of specified height and width if defined are accepted otherwise rejected.,1.0
115,the image upload progress bar should appear for large size images.,the image upload progress bar should appear for large size images.,Title: the image upload progress bar should appear for large size images.. Description: the image upload progress bar should appear for large size images.,Title: Image upload progress bar should appear for large size images.,0.9523809523809523,the image upload progress bar should appear for large size images.,1.0,The image upload progress bar should appear for large size images.,1.0,The image upload progress bar should appear for large size images.,1.0
116,check if the cancel button functionality is working in between the upload process.,check if the cancel button functionality is working in between the upload process.,Title: check if the cancel button functionality is working in between the upload process.. Description: check if the cancel button functionality is working in between the upload process.,Description: Check if the cancel button functionality is working in between the upload process.,1.0,check if the cancel button functionality is working in between the upload process .,1.0,Title: Check if the cancel button functionality is working in between the upload process.,1.0,Check if the cancel button functionality is working in between the upload process.,1.0
